state,Janssen_Doses,Moderna_Doses,Pfizer_Doses
alaska,33461,308683,429682
alabama,137009,1968575,2334306
arkansas,98014,1294279,1573396
american samoa,546,15293,43432
arizona,286126,3315414,4491094
bureau ofprisons,11407,90417,122899
california,1834890,19211983,28872802
colorado,264998,2811381,3994177
connecticut,203521,1853366,2915616
district of columbia,30629,373283,579283
dept of defense,238447,2018622,3245323
delaware,50345,460285,676484
florida,1195116,9964317,15086555
federated states of micronesia,11463,58462,913
georgia,270982,4237552,5953974
guam,9297,76532,143184
hawaii,47665,615586,1092875
iowa,144075,1374608,1893126
idaho,64319,633414,835421
indian health svc,31638,817068,773841
illinois,545852,5544724,9015109
indiana,252037,2482726,3889910
kansas,105834,1218959,1714094
kentucky,197787,2030461,2600219
louisiana,156242,1877335,2403856
massachusetts,332538,3774134,5593477
maryland,295310,2933220,4627688
maine,116357,735507,947053
marshall islands,2063,38093,0
michigan,366642,4153934,5969468
minnesota,292992,2471506,3813068
missouri,203622,2262222,3725426
northern mariana islands,773,9509,59127
mississippi,72276,1130383,1526427
montana,46334,462333,562845
north carolina,413040,4196597,6459621
north dakota,32253,294177,403357
nebraska,78114,807908,1250863
new hampshire,79280,686856,964988
new jersey,436124,4412867,6534052
new mexico,97777,1162326,1479859
nevada,149509,1206445,1991242
new york state,1107104,9605585,14771694
ohio,493458,4672866,6740738
oklahoma,119534,1703883,2245996
oregon,216543,1957979,2985011
pennsylvania,641120,6389577,8926607
puerto rico,130716,1861053,2618239
rhode island,52295,550198,837297
republic of palau,2333,24092,4124
south carolina,178705,2025010,2942709
south dakota,32149,385636,522855
tennessee,206255,2607659,3894480
texas,1231747,12235587,18465891
utah,145831,1278524,1958233
virginia,393493,3909727,6414801
veterans health,216074,2891047,2531402
virgin islands,1392,27555,71805
vermont,43318,357745,488780
washington,421085,3785069,5721497
wisconsin,272442,2636480,3791302
west virginia,41245,695951,798992
wyoming,23156,232043,255469
